date,rate
2020-12-17,73.420100
2020-12-18,72.978100
2020-12-19,73.315500
2020-12-22,74.672100
2020-12-23,75.349800
2020-12-24,75.457100
2020-12-25,74.839200
2020-12-26,73.692100
2020-12-29,73.717500
2020-12-30,73.656700
2020-12-31,73.875700
